message,sentiment
"Chote Mama created group ""Sinhaz""
",neutral
"You were added
",neutral
"Happy Birthday to you Nishu God bless you 
",positive
"Best photos for the Birthday of Nishu. God bless you.
",positive
"Chote Mama changed this group's icon
",neutral
"Chote Mama changed the group name from ""Sinhaz"" to ""SinhazHappy Birthday Bhaiya ""
",neutral
" birthday   BHAIYA
",positive
"Choti Mami changed this group's icon
",neutral
"Choti Mami changed the group name from ""SinhazHappy Birthday Bhaiya "" to ""Happy B'DAY Bhaiya ""
",neutral
"Looks smart young energatic and beautiful. Keep it up and maintain healthy mind and behave good. Happy  Birthday from Mother Father.
",positive
"Right 
",neutral
"
",neutral
"Thanks oll of you
",positive
"Shailputri Mata ki puja hogyi jai mata di 
",positive
"Happy Birthday Bade mama 
",neutral
"Peper me Aiwa hai pandal ka photo
",neutral
"Choti Mami changed the group name from ""Happy B'DAY Bhaiya "" to ""Sinhazz   ""
",neutral
"Wow 
",positive
"Beautiful 
",positive
"Baner hoding
",neutral
"Ahmedabad ki Durga Mata  jai mata di 
",neutral
"This message was deleted
",neutral
"Munger ki bri Durga Matajai mata di 
",neutral
"Beautiful  jai mata rani
",neutral
"Beautiful pictures 
",neutral
"Tilak Aarti Mala or Chunni Kanya ka Bharav bi hai Kanya k saat 
",neutral
"Jai mata di 
   God bless you 
",positive
"Very very Happy Birthday Blessings to nati Master TANAY who made us grand Father and grand Mother..
",positive
"Happy Birthday Tanay
",neutral
"Thank you mama
",neutral
"Thank you everyone 
",neutral
"Sinha s
",neutral
"it's great  Super s uper Jai maa Durga  Jai mata rani jai mata di 
",positive
"Super s uper 
",neutral
"It's great 
",positive
"Kya baat hai Chagy great job Congratulations 
",positive
": OT m ly gya 
",neutral
"Ho gaya operation didi ka phone aaya tha
",neutral
"acche se hogaya stone was very big in size
",positive
"Great didi
",positive
"Ho gya achay s tension bhut tha Dr Priya s kafi help or support hua aagy care kerna hai Thanks to God
",positive
"Laxman khiria doctor ka pic jo operation kiy hai 
",neutral
"Tension tha sab log ko kra liy hogya thanks to Godab aagy care kerna hai mujhe 
",neutral
"Mery liy mission tha Halka hua man sabka
",neutral
"Great 
",neutral
"Choti Mami changed the group name from ""Sinhazz   "" to ""Happy bday Bhabhi""
",neutral
"Many Many Happy returns of the day  God bless you  Have a great day 
",positive
"Badi Mami changed the group name from ""Happy bday Bhabhi"" to ""Sinhazz""
",neutral
"Badi Mami changed this group's icon
",neutral
"Happy Birthday to you my Cute Son  TUSHAR God bless you 
",positive
"Happy Birthday Tushar
",positive
"Beautiful family  Beautiful Ghar  Beautiful pictures 
  Najar n lgy Thu thu thu Maa Papa  God bless all of you 
",positive
"Happy bhaiduj  Happy Chitragupt puja  Papa Mummy ko  Nishu Reshu ko sbi Choty ko Pyar or Pinky Neha Tanay Tushar Kinshu krishu cute baby kunj ko God bless all of you 
",positive
"Tushar ko red ker diy legta hai Koi Duhan kri hai Tany ki 
 Tushar boly ga Mama mujhe bhaiya ki girlfriend bna diy
",neutral
"Dream cum true
",neutral
"Tushar ke sath wala photo dalo
",neutral
"Uska hand dikh raha hai
",neutral
"Tushar Maine nahi Kiya hai yeh karnama Mr.Akshat Raj ka hai
",neutral
"Mujhe pata hai mama ye kaam jumbo ka hi ho sakta
",positive
"Haaaaa
",neutral
"Mera dono beta Hera hai understanding m nature m behaviour m Study m Jo bi manjil achiv kry future m carrier God help and bless my kids 
 Dil s Prathna hai no word feelings hai 
",positive
"Hawra station ka vir 
",neutral
